"Informant","InformantID","Age","Gender","Informant ID","Investigator","Location","LocationID","Note"
"Iskrica d","75667","40","Female","d","","Iskrica","74987",""
" KK","74995","60","Female","KK","Investigator","","",""
"Iskrica c","74990","80","Male","c","","Iskrica","74987",""
"Iskrica b","74989","70","Female","b","","Iskrica","74987",""
"Iskrica a","74988","70","Female","a","","Iskrica","74987",""
"Vŭglarevo d","72857","70","Female","d","","Vŭglarovo","10020",""
"Vŭglarevo c","72856","70","Female","c","","Vŭglarovo","10020",""
"Vŭglarevo a","72855","70","Female","a","","Vŭglarovo","10020",""
"Stalevo c","72638","70","Male","c","","Stalevo","10017",""
"Trjavna c","72417","60","Female","c","","Trjavna","10389",""
