"Lexeme","LexemeID","Lexical traits","Note"
"пробивам","76787","",""
"бия.масло","76407","",""
"коло","76406","",""
"бързо","76402","",""
"картофи","76401","",""
"уртосвам","76212","",""
"drug","76005","",""
"гърчул","76001","",""
"окривея","75988","",""
" министър","75987","",""
"искарвам","75936","",""
"порода","75854","",""
"пропускам","75848","",""
"качула","75840","",""
"облекло","75808","",""
"метил","75792","",""
"захранвам","75791","",""
"зайдувам","75766","",""
"съвзема","75751","",""
"подсиля","75748","",""
"помъча","75744","",""
"омърлуша","75740","",""
"хубавичък","75737","",""
"наблюдавам","75728","markedly standard lexeme",""
"омърля","75724","",""
"манц","75684","m-reduplication",""
"танц","75683","",""
"зашия","75656","",""
"перце","75651","",""
"дреболия","75645","",""
"отвод","75632","",""
"условие","75609","markedly standard lexeme",""
"февруари","75603","",""
"мърля","75599","",""
"коч","75591","",""
"запролетя","75567","",""
"чобанлък","75543","",""
"мара","75522","",""
"храница","75494","",""
"предмет","75482","",""
"физически","75477","",""
"вероучение","75476","",""
"математика","75475","markedly standard lexeme",""
"Мъдрец","75451","",""
"възтреб","75437","dialectal lexeme",""
"денк","75431","",""
"елпезе","75427","",""
"мъгла","75419","",""
"сушина","75399","",""
"навързвам","75390","",""
"рамка","75383","",""
"нажълтявам","75373","",""
"саричка","75340","",""
"кобилка","75335","",""
"майчин","75326","",""
"запридам","75306","",""
"бубулечка","75300","",""
"веселба","75287","",""
"стъмни","75269","",""
"дохаждам","75254","",""
"меденик","75245","",""
"сабахлен","75238","Turkish loan",""
"бръснела","75237","",""
"нахвърля","75228","",""
"насроча","75221","",""
"чинка","75209","",""
"гърмя","75202","",""
"честитя","75198","",""
"ръкосам","75194","",""
"алтън","75180","",""
"подготвя","75171","",""
"кандърдисвам","75163","",""
"сватовник","75157","",""
"подире","75135","",""
"zveno","75128","",""
"курешник","75114","",""
"изкупувам","75053","",""
"посегна","75051","",""
"цървулка","75031","",""
"лича","75026","",""
"превивам","74668","",""
"сарма","74600","",""
"аскер","74475","Turkish loan",""
"Мая","74457","",""
"преградя","74456","",""
"изградя","74455","",""
"съхранявам","74454","",""
"таен","74453","",""
"отведнъж","74452","",""
"юрна","74451","",""
"чивийка","74450","",""
"дюзен","74449","Turkish loan, dialectal lexeme",""
"развързвам","74448","",""
"камара","74447","Greek loan",""
"смътен","74446","",""
"претривам","74445","",""
"огорявам","74444","",""
"захлупя","74443","",""
"захлупвам","74442","",""
"съдче","74441","",""
"бъкленик","74440","dialectal lexeme",""
"сач","74439","Turkish loan",""
"Сталево","74438","",""
"прегоря","74437","",""
"капак","74436","Turkish loan",""
"гребучка","74435","dialectal lexeme",""
"гелгерийка","74434","dialectal lexeme",""
"помет","74433","dialectal lexeme",""
"калабалък","74432","Turkish loan",""
"мярка","74431","",""
"поделя","74430","",""
"прокапя","74429","",""
"проявя","74428","",""
"изгъча","74427","dialectal lexeme",""
"текна","74426","",""
"зной","74425","",""
"Дора","74424","",""
"озноя","74423","dialectal lexeme",""
"гъча","74422","dialectal lexeme",""
"хас","74421","Turkish loan",""
"коритище","74420","",""
"струнка","74419","dialectal lexeme",""
"доболея","74418","",""
"заболея","74417","",""
"теглило","74416","",""
"тетка","74415","",""
"пиявица","74414","",""
"навържа","74413","",""
"Лечо","74412","",""
"откос","74411","",""
"шаварига","74410","",""
"кошута","74409","",""
"връхземи","74408","",""
"басма","74407","Turkish loan",""
"блещукам","74406","",""
"бамна","74405","",""
"онакалям","74404","",""
