"Linguistic trait","LinguistictraitID","Linguistic components"
"vìkame","76788",""
"пробивам","76787",""
"gl'èdəme","76786",""
"gl'èdət","76785",""
"da vi kàžem","76784",""
"sme ručàli","76783",""
"se ispìča","76782",""
"se zaklàpa","76781",""
"se ugorì","76780",""
"mlèko si e ","76779",""
"si se edè","76778",""
"si dròbiš","76777",""
"pìeš si a","76776",""
"sìpvaš si a","76775",""
"si se edè","76774",""
"se kàzva","76773",""
"takìva ti sa","76772",""
"si pṛ̀žiš","76771",""
"si pìeš","76770",""
"sìpež go","76769",""
"se zberè","76768",""
"šte go sɤopštàvate","76767",""
"se zberè","76766",""
"si pùšti","76765",""
"kato go džùrkaš","76764",""
"si sìpeš","76763",""
"si e butàlka","76762",""
"si e bɤškɤ̀","76761",""
"šte si go sìpeš","76760",""
"šte si potskvàsiš","76759",""
"še go svàriš","76758",""
"še kladèš","76757",""
"šte sìpeš","76756",""
"si sirìl","76755",""
"se kàzva","76754",""
"si ostàja","76753",""
"što sè tečè","76752",""
"v nuštuvìte","76751",""
"ne sè pečè","76750",""
"putpìsvəhà i","76749",""
"venč’ɛ̀vəhə hi","76748",""
"venč’ɛ̀hə jə","76747",""
"izved’ɛ̀hə jə","76746",""
"mə si kùtilə","76745",""
"sə svìvə prevìvə","76744",""
"sə svìvə","76743",""
"prekrìehà jə","76742",""
"sə pràveš’e","76741",""
"še si tùrehme","76740",""
"si im’ɛ̀hne","76739",""
"gur’ɛ̀hme si gi","76738",""
"dukàrəme si gi","76737",""
"i si gu dukàrvəhme","76736",""
"i gu tvàrehme","76735",""
"vejɛ̀hme gu","76734",""
"i gu zbìrəme","76733",""
"i gu nəvɔ̀ršvəhme","76732",""
"izvɔ̀rhəme gu","76731",""
"sə bìli","76730",""
"spumìnəmè si","76729",""
"də sə vèselìm’e","76728",""
"də sə sm’èjem","76727",""
"sə vɔ̀rnehme","76726",""
"sə kàzvaš’e","76725",""
"hi rìtnat","76724",""
"stàrite hi zərìtəhə","76723",""
"si ìməme","76722",""
"nè e imàlu","76721",""
"nè e imàlu","76720",""
"sme iskùtvəli","76719",""
"də gu ustàv’ət","76718",""
"si uvəž’ɛ̀vəhme","76717",""
"si uvəž’ɛ̀vəhme","76716",""
"č’i si znàehme","76715",""
"beše si","76714",""
"bilò e","76713",""
"n’è e bilò","76712",""
"žə rukɔ̀t","76711",""
"sìč’kit’e pràznici gi tàč’ehme","76710",""
"duhòdəhmè si","76709",""
"tuvàr’əhme si","76708",""
"si zbìrəhme","76707",""
"si kus’ɛ̀hne","76706",""
"hòd’əhme si","76705",""
"vìd’ehme si","76704",""
"də si igràime","76703",""
"si sme nəuč’èni","76702",""
"kàktu i də è","76701",""
"sə srəmùvə","76700",""
"bəštà mi","76699",""
"dušlè","76698",""
"dušlè","76697",""
"də sə rəspulòžət","76696",""
"z’èməd gu","76695",""
"mòe sə nòsi","76694",""
"si gòtvi","76693",""
"če si gòtv’ət","76692",""
"zbìrə sə","76691",""
"təkà li e bilò","76690",""
"s obrəzùvə","76689",""
"sə rəspolàgət","76688",""
"tɤ̀rs’ət sə","76687",""
"də sə venčàvə","76686",""
"ne ì znàm","76685",""
"sə im vìkəli","76684",""
"bìl təkɤ̀f kònnik","76683",""
"bəštà mu","76682",""
"ìmitu si","76681",""
"e ustànəlu","76680",""
"im vìkət","76679",""
"im vìkət","76678",""
"ni mògə ti kàzə","76677",""
"še si ìdi","76676",""
"mu kàzvəmi","76675",""
"si ìmə","76674",""
"kətu gi venčèjət","76673",""
"də sə zəvɤ̀rnət","76672",""
"venčàvət gi","76671",""
"i gi z’èmət","76670",""
"kəkvò li ni štèš","76669",""
"vrɤ̀zvət im","76668",""
"də ti kàžə","76667",""
"vi ub’əsn’àvəm","76666",""
"še zakačìm","76665",""
"sə čùdite","76664",""
"še vi kàžə","76663",""
"də vi kàžə","76662",""
"da se pečè","76661",""
"precàždaš si gu","76660",""
"precàždaš si gu","76659",""
"sì gu sìpvaš","76658",""
"go razbṛ̀kvaš","76657",""
"mu se kàzva","76656",""
"se izbìstri","76655",""
"kato se potsìri","76654",""
"šte čèkaš","76653",""
"šte go zavìeš","76652",""
"sìrište šte go zavìež","76651",""
"šte tùriš","76650",""
"si ìma","76649",""
"ta si kùpime","76648",""
"što nì trèbe","76647",""
"imàlo e","76646",""
"imàlo e","76645",""
"imàlo e ","76644",""
"imàlo e","76643",""
"od magazìna","76642",""
"sɤm si kupìla","76641",""
"si go pòtsira","76640",""
"ako mì trèbe","76639",""
"ìzdoa go","76638",""
"če si ìmam","76637",""
"da si vṛ̀va","76636",""
"sɤm ostàvila","76635",""
"ne sè pečè","76634",""
"dvà trì","76633",""
"opečè se","76632",""
"svàlim a","76630",""
"sme mesìle","76629",""
"se opečè","76628",""
"gi rèdat","76627",""
"go razvàlim","76626",""
"razbṛ̀kam go","76625",""
"si sedì","76624",""
"nasèe se","76623",""
"e bilò","76622",""
"trì čèteri ","76620",""
"napràile sme","76619",""
"napràil si","76618",""
"si a pràvi ","76617",""
"napràvim a","76616",""
"si a ubìem","76615",""
"takàva si zèmn’a","76614",""
"mu kàzvat ","76613",""
"se prài","76612",""
"mu vìkat","76611",""
"zasìpeme a","76609",""
"ne sè pečè","76607",""
"sme napràvile","76606",""
"zamèsi se","76605",""
"mu kàzvaxme","76604",""
"se mèseše","76603",""
"tùšni go","76600",""
"fṛ̀lim go","76599",""
"izmetème a","76598",""
"se napàli","76597",""
"napàlim a","76595",""
"čèkam go","76593",""
"mèsa go","76591",""
"šupnàlo","76590",""
"pòdmesa go","76589",""
"pòdmesa go","76587",""
"se natòpi","76586",""
"sme izèle","76585",""
"mu se kàzva","76584",""
"ostàvilè sme","76583",""
"sme si omèsile","76582",""
"sme si omèsile","76581",""
"mèsihmè go","76580",""
"si sedì","76579",""
"še go tùra","76578",""
"go ìzmesa","76577",""
"mèsa si ","76575",""
"si òtsea","76574",""
"sedì si","76573",""
"turìle sme ","76572",""
"sedì si","76571",""
"nèma da isɤ̀xne ","76570",""
"nèma da fàne","76569",""
"òpečà go","76568",""
"tùra se","76567",""
"sɤbìra se","76566",""
"go isfṛ̀ga","76565",""
"si pàda","76564",""
"si e napràveno","76563",""
"si se vṛtì","76562",""
"se žɤ̀ne","76561",""
"nasèe se","76560",""
