"Phrase","PhraseID","Accentuation","Clitic objects","Cyrillic phrase","Doubled phrase","Evidential","Interrogative","Line","LineID","Miscellaneous","Negation","Phrase","Reflexive","Style","Syntactic cohesion","Tense-mood","Token","TokenID","Verbal phrase","Word order"
"da vi kàžem","76784","","1.obj.pron.","","","","","Dolno Ujno: 3","25594","","","da vi kàžem","","","","present","da, vi, kàžem","11415, 13340, 25593","",""
"sme ručàli","76783","","","","","","","Dolno Ujno: 2","25591","","","sme ručàli","","","","perfect","sme, ručàli","12768, 25589","",""
"se ispìča","76782","","","","","","","Dolno Ujno: 2","25591","","","se ispìča","reflexive","","","present","se, ispìča","12409, 25587","",""
"se zaklàpa","76781","","","","","","","Dolno Ujno: 1","25585","","","se zaklàpa","reflexive","","","present","se, zaklàpa","12409, 25583","",""
"se ugorì","76780","","","","","","","Dolno Ujno: 1","25585","","","se ugorì","reflexive","","nonsequential","present","se, ugorì","12409, 25581","",""
"mlèko si e ","76779","","","","","","","Belica 3: 60","23723","","","mlèko si e ","reflexive","","","present","mlèko, si, e","23586, 12879, 987","predicate","obj-cop"
"si se edè","76778","","2.refl.clit","","","","","Belica 3: 60","23723","","","si se edè","reflexive","","","present","si, se, edè","12879, 12409, 21856","",""
"si dròbiš","76777","","","","","","","Belica 3: 60","23723","","","si dròbiš","reflexive","","","present","si, dròbiš","12879, 23722","",""
"pìeš si a","76776","","refl+obj.pron.","","","","","Belica 3: 59","23720","","","pìeš si a","reflexive","","","present","pìeš, si, a","12419, 12879, 23477","",""
"sìpvaš si a","76775","","refl+obj.pron.","","","","","Belica 3: 59","23720","","","sìpvaš si a","reflexive","","","present","sìpvaš, si, a","23619, 12879, 23477","",""
"si se edè","76774","","2.refl.clit","","","","","Belica 3: 59","23720","","","si se edè","reflexive","","","present","si, se, edè","12879, 12409, 21856","",""
"se kàzva","76773","","","","","","","Belica 3: 56","23715","","","se kàzva","reflexive","","","present","se, kàzva","12409, 2091","",""
"takìva ti sa","76772","","1.obj.pron.","","","","","Belica 3: 53","23706","","","takìva ti sa","","","","present","takìva, ti, sa","12178, 17648, 15546","predicate","obj-cop"
"si pṛ̀žiš","76771","","","","","","","Belica 3: 47","23697","","","si pṛ̀žiš","reflexive","","","present","si, pṛ̀žiš","12879, 23696","",""
"si pìeš","76770","","","","","","","Belica 3: 47","23697","","","si pìeš","reflexive","","","present","si, pìeš","12879, 12419","",""
"sìpež go","76769","","1.obj.pron.","","","","","Belica 3: 44","23693","","","sìpež go","","","","present","sìpež, go","23692, 14385","",""
"se zberè","76768","","","","","","","Belica 3: 42","23690","","","se zberè","reflexive","","","present","se, zberè","12409, 23681","",""
"šte go sɤopštàvate","76767","","1.obj.pron.","","","","","Belica 3: 41","23687","","","šte go sɤopštàvate","","","","future","šte, go, sɤopštàvate","12260, 14385, 23683","",""
"se zberè","76766","","","","","","","Belica 3: 40","23682","","","se zberè","reflexive","","","present","se, zberè","12409, 23681","",""
"si pùšti","76765","","","","","","","Belica 3: 40","23682","","","si pùšti","reflexive","","","present","si, pùšti","12879, 23679","",""
"kato go džùrkaš","76764","","1.obj.pron.","","","","","Belica 3: 40","23682","","","kato go džùrkaš","","","","present","kato, go, džùrkaš","15154, 14385, 23678","",""
"si sìpeš","76763","","","","","","","Belica 3: 37","23673","","","si sìpeš","reflexive","","","present","si, sìpeš","12879, 23641","",""
"si e butàlka","76762","","","","","","","Belica 3: 35","23667","","","si e butàlka","reflexive","","","present","si, e, butàlka","12879, 987, 32006","predicate",""
"si e bɤškɤ̀","76761","","","","","","","Belica 3: 34","23663","","","si e bɤškɤ̀","reflexive","","","present","si, e, bɤškɤ̀","12879, 987, 23661","predicate",""
"šte si go sìpeš","76760","","refl+obj.pron.","","","","","Belica 3: 34","23663","","","šte si go sìpeš","reflexive","","","future","šte, si, go, sìpeš","12260, 12879, 14385, 23641","",""
"šte si potskvàsiš","76759","","","","","","","Belica 3: 33","23658","","","šte si potskvàsiš","reflexive","","","future","šte, si, potskvàsiš","12260, 12879, 23655","",""
"še go svàriš","76758","","1.obj.pron.","","","","","Belica 3: 29","23646","","","še go svàriš","","","","future","še, go, svàriš","13272, 14385, 74979","",""
"še kladèš","76757","","","","","","","Belica 3: 29","23646","","","še kladèš","","","","future","še, kladèš","13272, 23645","",""
"šte sìpeš","76756","","","","","","","Belica 3: 28","23644","","","šte sìpeš","","","","future","šte, sìpeš","12260, 23641","",""
"si sirìl","76755","","","","","","","Belica 3: 27","23640","","","si sirìl","","","","perfect","si, sirìl","40734, 23639","",""
"se kàzva","76754","","","","","","","Belica 3: 25","23636","","","se kàzva","reflexive","","","present","se, kàzva","12409, 2091","",""
"si ostàja","76753","","","","","","","","","","","si ostàja","reflexive","","","present","si, ostàja","12879, 23632","",""
"što sè tečè","76752","addl.acc","","","","","","Belica 3: 24","23634","","","što sè tečè","reflexive","","","present","što, sè, tečè","13346, 27510, 23625","",""
"v nuštuvìte","76751","","","","","","","Belica 2: 142","23133","v+obj.","","v nuštuvìte","","","","","v, nuštuvìte","6432, 23131","",""
"ne sè pečè","76750","","","","","","","Belica 2: 165","23249","","neg-clit","ne sè pečè","reflexive","","","present","ne, sè, pečè","7850, 36839, 12608","",""
"putpìsvəhà i","76749","dbl.acc","1.obj.pron.","","","","","Čokmanovo 1: 38","12941","","","putpìsvəhà i","","","","imperfect","putpìsvəhà, i","12940, 23110","",""
"venč’ɛ̀vəhə hi","76748","","1.obj.pron.","","","","","Čokmanovo 1: 38","12941","","","venč’ɛ̀vəhə hi","","","","imperative","venč'ɛ̀vəhə, hi","12935, 14253","",""
"venč’ɛ̀hə jə","76747","","1.obj.pron.","","","","","Čokmanovo 1: 37","12934","","","venč’ɛ̀hə jə","","","","imperfect","venč'ɛ̀hə, jə","12930, 14297","",""
"izved’ɛ̀hə jə","76746","","1.obj.pron.","","","","","Čokmanovo 1: 36","12929","","","izved’ɛ̀hə jə","","","","imperfect","izved'ɛ̀hə, jə","12925, 14297","",""
"mə si kùtilə","76745","","1.obj.pron.","","","","","Čokmanovo 1: 35","12922","","","mə si kùtilə","","quoted.verse","","perfect","mə, si, kùtilə","13896, 40734, 12917","","obj-aux"
"sə svìvə prevìvə","76744","","","","","","","Čokmanovo 1: 34","12912","ellipsis","","sə svìvə prevìvə","","quoted.verse","","","sə, svìvə, prevìvə","19574, 74669, 74670","",""
"sə svìvə","76743","","","","","","","Čokmanovo 1: 34","12912","","","sə svìvə","reflexive","quoted.verse","","present","sə, svìvə","19574, 74669","",""
"prekrìehà jə","76742","dbl.acc","1.obj.pron.","","","","","Čokmanovo 1: 33","12905","","","prekrìehà jə","","","","imperfect","prekrìehà, jə","12902, 14297","",""
"sə pràveš’e","76741","","","","","","","Čokmanovo 1: 32","12897","","","sə pràveš’e","reflexive","","","imperfect","sə, pràveš'e","19574, 12892","",""
"še si tùrehme","76740","","","","","","","Čokmanovo 1: 30","12889","","","še si tùrehme","reflexive","","","fut.in.past","še, si, tùrehme","13272, 12879, 12886","",""
"si im’ɛ̀hne","76739","","","","","","","Čokmanovo 1: 29","12881","","","si im’ɛ̀hne","reflexive","","","imperfect","si, im'ɛ̀hne","12879, 12880","",""
"gur’ɛ̀hme si gi","76738","","refl+obj.pron.","","","","","Čokmanovo 1: 29","12881","","","gur’ɛ̀hme si gi","reflexive","","","imperfect","gur'ɛ̀hme, si, gi","12876, 12879, 1152","",""
"dukàrəme si gi","76737","","refl+obj.pron.","","","","","Čokmanovo 1: 29","12881","","","dukàrəme si gi","reflexive","","","present","dukàrəme, si, gi","23016, 12879, 1152","",""
